region,user_ip,user_port,domain_name,app_type,app_sub_type,start_time,end_time,ul_data,dl_data
NA,10.90.168.76,54726,hws.m.taobao.com,15,3,1409649438373,1409649438548,1934,3021
NA,10.90.168.76,54726,hws.m.taobao.com,15,3,1409649438673,1409649440653,1707,3022
NA,10.91.238.6,62616,hws.m.taobao.com,15,3,1409649429053,1409649429313,1709,2927
NA,10.91.238.6,62616,hws.m.taobao.com,15,3,1409649429458,1409649431298,1486,1301
NA,10.95.160.168,51133,hws.m.taobao.com,15,3,1409649427433,1409649427613,2147,4017
NA,10.95.160.168,51133,hws.m.taobao.com,15,3,1409649427933,1409649427998,1419,1536
NA,10.95.160.168,51133,hws.m.taobao.com,15,3,1409649429373,1409649429463,2040,3855
NA,10.95.160.168,51133,hws.m.taobao.com,15,3,1409649429718,1409649432878,2926,1600
133790494,10.78.54.199,49248,ya.tmall.com,15,155,1409649431661,1409649431882,1025,531
133790494,10.78.54.199,49249,ya.tmall.com,15,155,1409649435431,1409649435670,1122,498
133790494,10.78.54.199,49253,ya.tmall.com,15,155,1409649438420,1409649438661,1076,1396
133790494,10.78.54.199,49258,ya.tmall.com,15,155,1409649440475,1409649440695,1126,1345
NA,10.87.33.172,33033,ya.tmall.com,15,155,1409649436231,1409649436552,871,3105
NA,10.87.33.172,33034,ya.tmall.com,15,155,1409649436601,1409649436877,862,1017
NA,10.87.33.172,33035,ya.tmall.com,15,155,1409649436631,1409649436855,774,498
NA,10.87.33.172,33044,ya.tmall.com,15,155,1409649445241,1409649445485,1313,1280
NA,10.90.177.236,55692,ya.tmall.com,15,155,1409649431301,1409649431534,980,541
NA,10.90.177.236,55695,ya.tmall.com,15,155,1409649438711,1409649439094,783,2491
NA,10.90.177.236,55697,ya.tmall.com,15,155,1409649441511,1409649441810,783,2491
NA,10.90.177.236,55698,ya.tmall.com,15,155,1409649443741,1409649443999,906,601
133787146,10.100.35.204,64640,ya.tmall.com,15,155,1409649449106,1409649449414,1227,2693
NA,10.83.21.159,42714,suggest.taobao.com,15,3,1409649391333,1409649391335,1373,40
131740948,10.90.44.129,61780,suggest.taobao.com,15,3,1409649403558,1409649408763,933,450
131740948,10.90.44.129,61780,suggest.taobao.com,15,3,1409649409003,1409649409049,788,80
131740948,10.90.44.129,61786,suggest.taobao.com,15,3,1409649409003,1409649409163,932,410
131740948,10.90.44.129,61791,suggest.taobao.com,15,3,1409649409173,1409649409333,891,410
131740948,10.90.44.129,61791,suggest.taobao.com,15,3,1409649410253,1409649415463,826,346
131740948,10.90.44.129,61791,suggest.taobao.com,15,3,1409649418098,1409649418158,785,80
NA,10.77.95.94,52526,m.cp.taobao.com,15,3,1409649391608,1409649391608,391,0
NA,10.80.240.150,43575,caipiao.m.taobao.com,15,3,1409649433543,1409649433692,1185,625
NA,10.80.240.150,43575,caipiao.m.taobao.com,15,3,1409649434418,1409649434492,1085,525
NA,10.80.240.150,43575,caipiao.m.taobao.com,15,3,1409649435508,1409649451747,1165,605
NA,10.78.166.183,38717,rate.tmall.com,15,155,1409649430533,1409649430958,1551,2218
NA,10.78.166.183,38718,rate.tmall.com,15,155,1409649434083,1409649434401,1615,2252
NA,10.78.166.183,38719,rate.tmall.com,15,155,1409649440707,1409649441097,1551,2135
NA,10.78.166.183,38720,rate.tmall.com,15,155,1409649450697,1409649451042,1603,2174
NA,10.83.106.110,55697,login.m.tmall.com,15,155,1409649427158,1409649427375,1611,1475
NA,10.83.106.110,55714,login.m.taobao.com,15,3,1409649435358,1409649435581,1691,5372
NA,10.98.67.79,55087,hws.m.taobao.com,15,3,1409649433792,1409649434007,2263,3704
NA,10.98.67.79,55087,hws.m.taobao.com,15,3,1409649434302,1409649435667,1787,6024
NA,10.82.231.72,43101,hws.m.taobao.com,15,3,1409649397312,1409649407542,2298,4339
NA,10.82.231.72,43101,hws.m.taobao.com,15,3,1409649411347,1409649411397,2121,120
NA,10.93.191.238,60857,hws.m.taobao.com,15,3,1409649391737,1409649410482,2916,0
NA,10.94.124.55,42672,aldcdn.tmall.com,15,155,1409649420778,1409649431819,1403,2260
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649417099,1409649417279,1828,720
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649417399,1409649417489,1784,597
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649420639,1409649420719,1839,598
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649420939,1409649421029,1907,653
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649421119,1409649421219,1778,862
